"filename", "language", "JSON with Comments", "HTML", "JavaScript", "JSON", "vue", "Markdown", "CSS", "SCSS", "XML", "comment", "blank", "total"
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\Cropcategory.vue", "vue", 0, 0, 0, 0, 972, 0, 0, 0, 0, 9, 82, 1063
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\Cropcategorychild.vue", "vue", 0, 0, 0, 0, 950, 0, 0, 0, 0, 9, 80, 1039
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\Cropparam.vue", "vue", 0, 0, 0, 0, 5210, 0, 0, 0, 0, 53, 286, 5549
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\TreeInfo.vue", "vue", 0, 0, 0, 0, 908, 0, 0, 0, 0, 9, 58, 975
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\temp.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\grow\ModelData.vue", "vue", 0, 0, 0, 0, 512, 0, 0, 0, 0, 6, 24, 542
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\grow\Realdata.vue", "vue", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 56
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\homepage\Homepage.vue", "vue", 0, 0, 0, 0, 2125, 0, 0, 0, 0, 13, 142, 2280
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\landandsoil\Landmanage copy.vue", "vue", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 8, 146
"d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\landandsoil\Landmanage.vue", "vue", 0, 0, 0, 0, 1126, 0, 0, 0, 0, 11, 102, 1239
